track_name,artist_name,artist_genres
eternal sunshine,Ariana Grande,pop
Bar None,Jordan Davis,"country, pop country"
intro (end of the world) - extended,Ariana Grande,pop
twilight zone,Ariana Grande,pop
warm,Ariana Grande,pop
Need Me,Rumelis,dark r&b
TOXIC (with Skepta),Playboi Carti,rage rap
Mission,Ely Oaks,hypertechno
Handlebars (feat. Dua Lipa),JENNIE,k-pop
Intro : JANE with FKJ,JENNIE,k-pop
CURSE or SPELL,weeklyn,emo rap
Damn Right (feat. Childish Gambino & Kali Uchis),JENNIE,k-pop
ExtraL (feat. Doechii),JENNIE,k-pop
F.T.S.,JENNIE,k-pop
Filter,JENNIE,k-pop
Seoul City,JENNIE,k-pop
Starlight,JENNIE,k-pop
start a war,JENNIE,k-pop
twin,JENNIE,k-pop
like JENNIE,JENNIE,k-pop
Love Hangover (feat. Dominic Fike),JENNIE,k-pop
Mantra,JENNIE,k-pop
with the IE (way up),JENNIE,k-pop
ZEN,JENNIE,k-pop
Run It Up,Hanumankind,"malayalam hip hop, desi hip hop"
Why Them?,Catlea,melodic bass
Like I do,Tate McRae,pop
Means I care,Tate McRae,pop
Miss possessive,Tate McRae,pop
No I'm not in love,Tate McRae,pop
Nostalgia,Tate McRae,pop
2 hands,Tate McRae,pop
bloodonmyhands (feat. Flo Milli),Tate McRae,pop
Greenlight,Tate McRae,pop
I know love (feat. The Kid LAROI),Tate McRae,pop
It's ok I'm ok,Tate McRae,pop
Dear god,Tate McRae,pop
Purple lace bra,Tate McRae,pop
Revolving door,Tate McRae,pop
Signs,Tate McRae,pop
Siren sounds (bonus),Tate McRae,pop
Sports car,Tate McRae,pop
Shake It To The Max (FLY) - Remix,MOLIY,alté
Happen To Me,Russell Dickerson,"country, pop country"
We Are Not Broken,Matt Goss,trance
Busy Woman,Sabrina Carpenter,pop
NOKIA,Drake,rap
Born Again (feat. Doja Cat & RAYE),LISA,k-pop
Baptized In Fear,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Big Sleep (feat. Giorgio Moroder),The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Take Me Back To LA,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
The Abyss (feat. Lana Del Rey),The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Timeless (feat Playboi Carti),The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Until We're Skin & Bones,The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
Wake Me Up (feat. Justice),The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop"
